"","Experiment","rev","typ","Created","State","general.asset","general.tfmin","wf.train_length","wf.test_length","sharpe_ratio","general.performance_stat"
"221","boozy-tors","249000c","branch_commit","2023-12-16T15:02:57","",1,60,14,21,0.982299,"sharpe"
"231","magic-tods","5e3057b","branch_commit","2023-12-16T15:01:58","",1,60,14,14,1.0051295,"sharpe"
"241","liney-jass","e20164e","branch_commit","2023-12-16T15:01:03","",1,60,14,10,1.178042,"sharpe"
"251","goosy-term","b197572","branch_commit","2023-12-16T15:00:07","",1,60,14,7,0.8255148,"sharpe"
"261","added-dean","720208e","branch_commit","2023-12-16T14:59:05","",1,60,14,5,0.6483334,"sharpe"
"271","blear-haet","762ef84","branch_commit","2023-12-16T14:58:02","",1,60,14,3,1.0784885,"sharpe"
"281","mated-paps","9beb3c3","branch_commit","2023-12-16T14:56:51","",1,60,14,2,0.8474585,"sharpe"
"291","trial-over","69c6b9c","branch_commit","2023-12-16T14:55:37","",1,60,14,1,0.7952232,"sharpe"
"301","wroth-loge","a3b51a7","branch_commit","2023-12-16T14:53:53","",1,60,10,28,0.8591138,"sharpe"
"311","jaggy-adze","b019254","branch_commit","2023-12-16T14:52:58","",1,60,10,21,1.1155368,"sharpe"
"321","farci-eyot","c559f86","branch_commit","2023-12-16T14:51:59","",1,60,10,14,0.9153372,"sharpe"
"331","stiff-lamb","9ce3dcb","branch_commit","2023-12-16T14:51:03","",1,60,10,10,0.8677834,"sharpe"
"341","lumpy-cons","ed478bb","branch_commit","2023-12-16T14:50:01","",1,60,10,7,1.0869037,"sharpe"
"351","lunar-puku","53d0b87","branch_commit","2023-12-16T14:48:57","",1,60,10,5,0.7317839,"sharpe"
"361","scrap-ions","60f3484","branch_commit","2023-12-16T14:47:51","",1,60,10,3,0.8504386,"sharpe"
"371","trade-shes","e857409","branch_commit","2023-12-16T14:46:24","",1,60,10,2,0.735669,"sharpe"
"381","obese-kail","f0541ba","branch_commit","2023-12-16T14:45:08","",1,60,10,1,0.5302968,"sharpe"
"391","crash-taka","a1c09d7","branch_commit","2023-12-16T14:43:24","",1,60,7,28,1.252376,"sharpe"
"401","dirty-cull","14fbd31","branch_commit","2023-12-16T14:42:32","",1,60,7,21,0.9395686,"sharpe"
"411","naked-eyas","ecb79ca","branch_commit","2023-12-16T14:41:40","",1,60,7,14,0.7682652,"sharpe"
"421","mired-kids","5271f71","branch_commit","2023-12-16T14:40:48","",1,60,7,10,0.6912724,"sharpe"
"431","filar-leks","2e8412b","branch_commit","2023-12-16T14:39:54","",1,60,7,7,0.543806,"sharpe"
"441","unwed-book","9af4c0f","branch_commit","2023-12-16T14:38:59","",1,60,7,5,0.3942606,"sharpe"
"451","uncut-bite","2999426","branch_commit","2023-12-16T14:38:00","",1,60,7,3,0.7196143,"sharpe"
"461","gluey-mobs","8f12b79","branch_commit","2023-12-16T14:36:50","",1,60,7,2,0.6519776,"sharpe"
"471","dazed-rift","3f3eb9a","branch_commit","2023-12-16T14:35:39","",1,60,7,1,0.7941279,"sharpe"
"481","tubal-lees","90d5510","branch_commit","2023-12-16T14:34:00","",1,60,5,28,1.1647654,"sharpe"
"491","gruff-flux","aeaa10f","branch_commit","2023-12-16T14:33:06","",1,60,5,21,0.8123703,"sharpe"
"501","comic-veep","9e6c9f8","branch_commit","2023-12-16T14:32:13","",1,60,5,14,0.6907913,"sharpe"
"511","tacit-rins","b4190c5","branch_commit","2023-12-16T14:31:20","",1,60,5,10,0.9546666,"sharpe"
"521","leady-prow","4a5e47c","branch_commit","2023-12-16T14:30:22","",1,60,5,7,0.7091994,"sharpe"
"531","pudgy-vlei","98e35ff","branch_commit","2023-12-16T14:29:21","",1,60,5,5,0.698723,"sharpe"
"541","loose-quiz","f2f1c35","branch_commit","2023-12-16T14:28:13","",1,60,5,3,0.8129486,"sharpe"
"551","barer-omer","7b39ba3","branch_commit","2023-12-16T14:26:59","",1,60,5,2,0.7719709,"sharpe"
"561","cushy-kind","94ebf1a","branch_commit","2023-12-16T14:25:45","",1,60,5,1,0.6171797,"sharpe"
"571","pupal-suer","78f6b7c","branch_commit","2023-12-16T14:24:07","",1,60,3,28,1.1367245,"sharpe"
"581","later-rime","0f3d979","branch_commit","2023-12-16T14:23:16","",1,60,3,21,0.4136236,"sharpe"
"591","rummy-sook","c526c9f","branch_commit","2023-12-16T14:22:29","",1,60,3,14,1.0386315,"sharpe"
"601","beamy-sida","c0796cd","branch_commit","2023-12-16T14:21:32","",1,60,3,10,0.9253911,"sharpe"
"611","lucid-lama","7d7ce9e","branch_commit","2023-12-16T14:20:39","",1,60,3,7,0.7774279,"sharpe"
"621","bumpy-grot","e84d26a","branch_commit","2023-12-16T14:19:40","",1,60,3,5,0.3559641,"sharpe"
"631","umber-wine","d8b2310","branch_commit","2023-12-16T14:18:30","",1,60,3,3,0.1862872,"sharpe"
"641","bovid-zone","224dde4","branch_commit","2023-12-16T14:17:16","",1,60,3,2,0.4252548,"sharpe"
"651","jowly-gigs","58980d5","branch_commit","2023-12-16T14:16:03","",1,60,3,1,0.5139709,"sharpe"
"661","oaten-hull","ad9b37f","branch_commit","2023-12-16T14:14:26","",1,60,2,28,0.9898001,"sharpe"
"671","kacha-mean","7a2af55","branch_commit","2023-12-16T14:13:26","",1,60,2,21,0.2825163,"sharpe"
"681","eerie-plot","722ac12","branch_commit","2023-12-16T14:12:25","",1,60,2,14,0.832168,"sharpe"
"691","chewy-amyl","9ae3c01","branch_commit","2023-12-16T14:11:23","",1,60,2,10,0.9540248,"sharpe"
"701","baked-flex","08d62e5","branch_commit","2023-12-16T14:10:13","",1,60,2,7,0.5935634,"sharpe"
"711","sleek-lamb","5020781","branch_commit","2023-12-16T14:08:59","",1,60,2,5,0.701945,"sharpe"
"721","fiery-lush","5086727","branch_commit","2023-12-16T14:07:35","",1,60,2,3,0.472835,"sharpe"
"731","kacha-airs","4559fe5","branch_commit","2023-12-16T14:06:15","",1,60,2,2,0.5073825,"sharpe"
"741","couth-dogs","e9db567","branch_commit","2023-12-16T14:04:45","",1,60,2,1,0.6323817,"sharpe"
"751","tutti-brig","97b0545","branch_commit","2023-12-16T14:03:01","",1,60,1,28,0.9964799,"sharpe"
"761","phony-ring","fb5890d","branch_commit","2023-12-16T14:01:43","",1,60,1,21,0.5898536,"sharpe"
"771","warty-pams","bf7b170","branch_commit","2023-12-16T14:00:38","",1,60,1,14,1.0962548,"sharpe"
"781","radio-buck","7576029","branch_commit","2023-12-16T13:59:38","",1,60,1,10,0.8843315,"sharpe"
"791","zinky-kefs","27e663f","branch_commit","2023-12-16T13:58:37","",1,60,1,7,0.8139876,"sharpe"
"801","wonky-nock","1b14305","branch_commit","2023-12-16T13:57:31","",1,60,1,5,0.5681699,"sharpe"
"811","upset-pith","93bcb7c","branch_commit","2023-12-16T13:56:27","",1,60,1,3,0.5396686,"sharpe"
"821","prima-kerf","72b2d3f","branch_commit","2023-12-16T13:55:18","",1,60,1,2,0.4924395,"sharpe"
"831","regal-yack","0bbbb33","branch_commit","2023-12-16T13:54:01","",1,60,1,1,0.4718046,"sharpe"
"841","flaky-sida","7b0dc78","branch_commit","2023-12-16T13:50:45","Failed",1,60,28,28,0.8368425,"sharpe"
"851","soupy-buck","9d1f943","branch_commit","2023-12-16T13:50:43","Failed",1,60,28,21,0.8368425,"sharpe"
"861","yummy-dita","8389c8f","branch_commit","2023-12-16T13:50:42","Failed",1,60,28,14,0.8368425,"sharpe"
"871","liege-snap","21f9a13","branch_commit","2023-12-16T13:50:41","Failed",1,60,28,10,0.8368425,"sharpe"
"881","calmy-lier","66fe66f","branch_commit","2023-12-16T13:50:40","Failed",1,60,28,7,0.8368425,"sharpe"
"891","sated-zips","e86aabc","branch_commit","2023-12-16T13:50:39","Failed",1,60,28,5,0.8368425,"sharpe"
"901","above-funs","4328a5a","branch_commit","2023-12-16T13:50:38","Failed",1,60,28,3,0.8368425,"sharpe"
"911","famed-magi","c38fe84","branch_commit","2023-12-16T13:50:37","Failed",1,60,28,2,0.8368425,"sharpe"
"921","total-junk","e7f2091","branch_commit","2023-12-16T13:50:36","Failed",1,60,28,1,0.8368425,"sharpe"
"931","optic-soja","5a65bf1","branch_commit","2023-12-16T13:50:35","Failed",1,60,21,28,0.8368425,"sharpe"
"941","pawky-jeer","d8d8aae","branch_commit","2023-12-16T13:50:33","Failed",1,60,21,21,0.8368425,"sharpe"
"951","pique-prep","0329ca9","branch_commit","2023-12-16T13:50:32","Failed",1,60,21,14,0.8368425,"sharpe"
"961","handy-cows","80e01b4","branch_commit","2023-12-16T13:50:31","Failed",1,60,21,10,0.8368425,"sharpe"
"971","mazed-girl","5aa07cc","branch_commit","2023-12-16T13:50:30","Failed",1,60,21,7,0.8368425,"sharpe"
"981","genal-bean","7b03373","branch_commit","2023-12-16T13:50:29","Failed",1,60,21,5,0.8368425,"sharpe"
"991","dusky-fare","58e774b","branch_base","2023-12-16T13:50:28","Failed",1,60,21,3,0.8368425,"sharpe"
