Experiment,rev,typ,Created,parent,sharpe_ratio,stdev,ir2,sortino_ratio,general.timeframe,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,master\data-raw\train_3mln.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\5\02_downsampled.rds,master\data-wip\1\5\03_precalculated.rds,master\data-wip\1\5\04_positions.rds,master\data-wip\1\5\05_pnl.rds,master\data-wip\1\5\06_wf_indexes.rds,master\data-wip\1\5\07_wf_metrics.rds,master\data-wip\1\5\08_wf_best_params.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.R,master\rcode\05_calculate_pnl.r,master\rcode\06_wf_calculate_indexes.r,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.R,master\rcode\logic\WfHelper.r,master\rcode\logic\WfHelper.yaml,master\rcode\logic\helpers\data_helper.r,master\rcode\logic\helpers\metrics_helper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml

hi-fi-ulna,a867a64,branch_commit,2023-10-24T23:15:22,,1.4482977,0.0082989,2.9177213,2.0877146,"[1, 10, 15]",1,60,sortino_ratio,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,e13c0ddeabcb3cf8b494707ae8b65881,b87e15aed8ebf922a87a4df3d48d1b37,df749599aa06744fdf02d1108b76b334,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

ready-sera,64322a4,branch_commit,2023-10-24T23:14:59,,1.6201615,0.0083006,3.959824,2.3462421,"[1, 10, 15]",1,60,ir2,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,e13c0ddeabcb3cf8b494707ae8b65881,b87e15aed8ebf922a87a4df3d48d1b37,76506a82be593a43ec9181a5e23fbcac,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

meaty-coos,9d45160,branch_commit,2023-10-24T23:14:36,,1.6201615,0.0083006,3.959824,2.3462421,"[1, 10, 15]",1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,e13c0ddeabcb3cf8b494707ae8b65881,b87e15aed8ebf922a87a4df3d48d1b37,f0d72fccb7d910155cecf16c23cac431,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

dozen-gyms,0e56308,branch_commit,2023-10-24T23:14:11,,2.4888713,0.0083598,11.5260403,3.6270547,"[1, 10, 15]",1,60,sortino_ratio,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,f585de28956be9debf28bd48668cea46,bf52d256857cf82be485352ae51bb8a2,24099b8c832cd09c795947027f1b8afc,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

toned-beak,a6fe62d,branch_commit,2023-10-24T23:13:48,,2.4888713,0.0083598,11.5260403,3.6270547,"[1, 10, 15]",1,60,ir2,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,f585de28956be9debf28bd48668cea46,bf52d256857cf82be485352ae51bb8a2,ed48f919e60a76911330f3edc3fbd96b,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

dotty-ruin,f739cf6,branch_commit,2023-10-24T23:13:24,,2.6400557,0.0083615,12.9715014,3.8647316,"[1, 10, 15]",1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,f585de28956be9debf28bd48668cea46,bf52d256857cf82be485352ae51bb8a2,fd4f3004af912f8fc40c3accd0b6537c,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

astir-inti,f3a7efa,branch_commit,2023-10-24T23:12:57,,2.1339574,0.0083812,6.6754342,3.0952892,"[1, 10, 15]",1,60,sortino_ratio,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,79639e004c39ad75d1d426914ac39b6c,ca629f473453d1354b2c2c8061f4cdda,b33bb1ae864757d80673e31d7f8de7cc,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

wedgy-glee,f7fc71c,branch_commit,2023-10-24T23:12:34,,2.1339574,0.0083812,6.6754342,3.0952892,"[1, 10, 15]",1,60,ir2,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,79639e004c39ad75d1d426914ac39b6c,ca629f473453d1354b2c2c8061f4cdda,5ccfcdcb837edeb62d4be368d56e30ae,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

hilly-boll,9308ccb,branch_commit,2023-10-24T23:12:13,,2.1339574,0.0083812,6.6754342,3.0952892,"[1, 10, 15]",1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,79639e004c39ad75d1d426914ac39b6c,ca629f473453d1354b2c2c8061f4cdda,7177ec22b0fb4f2cb5e2187166e17af3,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

pious-zack,e912e90,branch_commit,2023-10-24T23:11:48,,1.9165113,0.0083884,6.2086568,2.7667929,"[1, 10, 15]",1,60,sortino_ratio,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,31bd00c1a000da1bbe70c3cfeb6074a0,c661066b90cff874859bed1fbfda92ff,e8a5f18c06285c0732731483f83a2977,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

brown-cuds,a646881,branch_commit,2023-10-24T23:11:26,,1.9165113,0.0083884,6.2086568,2.7667929,"[1, 10, 15]",1,60,ir2,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,31bd00c1a000da1bbe70c3cfeb6074a0,c661066b90cff874859bed1fbfda92ff,80394968a34ca13353ace3da377a04c6,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

enate-farm,10536f2,branch_commit,2023-10-24T23:11:06,,1.9165113,0.0083884,6.2086568,2.7667929,"[1, 10, 15]",1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,5,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,31bd00c1a000da1bbe70c3cfeb6074a0,c661066b90cff874859bed1fbfda92ff,6c4fb4f99c57eea4ecf3646208609a5a,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

unwed-jock,75b24a0,branch_commit,2023-10-24T23:10:40,,2.2178305,0.0084289,8.3551951,3.2187738,"[1, 10, 15]",1,60,sortino_ratio,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,89c9909cf6b5fe9f16a0c28b90035895,61c11b666125ffacf82435b4cf1a7792,dfaf51c17ac62b6d3074dd907e883091,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

misty-scud,469ab14,branch_commit,2023-10-24T23:10:17,,2.1568757,0.0084286,7.901944,3.126923,"[1, 10, 15]",1,60,ir2,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,89c9909cf6b5fe9f16a0c28b90035895,61c11b666125ffacf82435b4cf1a7792,f1ba4b51eb5200fdf2a02c993cf793e2,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

super-gimp,9afb5bf,branch_commit,2023-10-24T23:09:55,,2.2178305,0.0084289,8.3551951,3.2187738,"[1, 10, 15]",1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,3,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,89c9909cf6b5fe9f16a0c28b90035895,61c11b666125ffacf82435b4cf1a7792,ccc4a9b6ea3d5ec895fea4d8a6a4af82,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

vocal-plug,943a314,branch_commit,2023-10-24T23:09:32,,2.1096496,0.008411,6.8657088,3.0880452,"[1, 10, 15]",1,60,sortino_ratio,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,a94c5a52087814beb68e53164878b8c8,58e8b20c8c7fbb8a0ef6d496d0fca364,dd823fbc67e6cb30c7964331fadc023d,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

peaky-drab,af91d77,branch_commit,2023-10-24T23:09:08,,2.1096496,0.008411,6.8657088,3.0880452,"[1, 10, 15]",1,60,ir2,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,a94c5a52087814beb68e53164878b8c8,58e8b20c8c7fbb8a0ef6d496d0fca364,5651352fbffd8772727ea987eeb0b761,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

irony-shay,587fa90,branch_commit,2023-10-24T23:08:45,,2.1096496,0.008411,6.8657088,3.0880452,"[1, 10, 15]",1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,2,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,a94c5a52087814beb68e53164878b8c8,58e8b20c8c7fbb8a0ef6d496d0fca364,d75f94f4faa6d5b0a52e6e4286398dfa,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

balky-esse,4693ae0,branch_commit,2023-10-24T23:08:21,,1.3382621,0.0084196,2.028527,1.949044,"[1, 10, 15]",1,60,sortino_ratio,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,17a984c402f78e94ffdc5e7b46a263b6,7c4907a69b7313c5f22f350b07cc0d5a,17fb0b7941b0107a352fd38f1267a7f8,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

soupy-lien,e0450ee,branch_commit,2023-10-24T23:08:00,,1.2384537,0.0084224,1.7378172,1.7965912,"[1, 10, 15]",1,60,ir2,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,17a984c402f78e94ffdc5e7b46a263b6,7c4907a69b7313c5f22f350b07cc0d5a,17a2ecc93f669c67acd853d539ff6b60,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

mated-ryas,5e6a6ad,branch_commit,2023-10-24T23:07:38,,1.3382621,0.0084196,2.028527,1.949044,"[1, 10, 15]",1,60,sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,1,28,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,17a984c402f78e94ffdc5e7b46a263b6,7c4907a69b7313c5f22f350b07cc0d5a,782b40e160b48e558a11f401b58ce84d,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,2b18904c30b2faac7d621804591c3bc2,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

rural-moxa,30bd3f4,branch_commit,2023-10-24T22:51:44,,1.7595824,0.0075406,4.0898499,2.5958351,"[1, 10, 15]",1,60,sortino_ratio,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,28,21,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,95c3db75ead4c3d046348a18624c39de,7279c4c28c2cec23198464a187d64fb0,e3e1326d9b5c49fca9122e1740c80349,c916bacbf139ba3ae3ebeb868eccb31a,7234b769b0406eba54b493d221b76a1d,56717d335e824e62469e26821b438442,dee9fb2aace0c71b6795403763cf6ceb,9324afadb93349dca55c9dc1fe2ed80f,553b26c7b7bb776d90941fdf714fdc46,c426a9e5639dcfce6f67ec43189d6e24,ded5c5ddc6bc143258b20bfd83c37c4f,803dea85bc63eed422a48d86e3d27575,a71c41977f231563d1490c414c232fd1,74913fb30fe667030d2f26c329ef48ec,a24e36c7c4cc70bc6ef55969d4078a12,c8d1c328f00399577ab3b3629ec90249

