Experiment,rev,typ,Created,parent,State,sharpe_ratio,stdev,general.timeframe,general.asset,general.tfmin,general.performance_stat,general.datapath,general.raw_data,strategy.param.path,wf.param.path,wf.train_length,wf.test_length,master\data-raw\train_3mln.csv,master\data-wip\01_converted_to_xts.rds,master\data-wip\1\10\02_downsampled.rds,master\data-wip\1\10\03_precalculated.rds,master\data-wip\1\10\04_positions.rds,master\data-wip\1\10\05_pnl.rds,master\data-wip\1\10\06_wf_indexes.rds,master\data-wip\1\10\07_wf_metrics.rds,master\data-wip\1\10\08_wf_best_params.rds,master\data-wip\1\15\02_downsampled.rds,master\data-wip\1\15\03_precalculated.rds,master\data-wip\1\15\04_positions.rds,master\data-wip\1\15\05_pnl.rds,master\data-wip\1\15\06_wf_indexes.rds,master\data-wip\1\15\07_wf_metrics.rds,master\data-wip\1\15\08_wf_best_params.rds,master\data-wip\1\1\02_downsampled.rds,master\data-wip\1\1\03_precalculated.rds,master\data-wip\1\1\04_positions.rds,master\data-wip\1\1\05_pnl.rds,master\data-wip\1\1\06_wf_indexes.rds,master\data-wip\1\1\07_wf_metrics.rds,master\data-wip\1\1\08_wf_best_params.rds,master\data-wip\1\30\02_downsampled.rds,master\data-wip\1\30\03_precalculated.rds,master\data-wip\1\30\04_positions.rds,master\data-wip\1\30\05_pnl.rds,master\data-wip\1\30\06_wf_indexes.rds,master\data-wip\1\30\07_wf_metrics.rds,master\data-wip\1\30\08_wf_best_params.rds,master\data-wip\1\5\02_downsampled.rds,master\data-wip\1\5\03_precalculated.rds,master\data-wip\1\5\04_positions.rds,master\data-wip\1\5\05_pnl.rds,master\data-wip\1\5\06_wf_indexes.rds,master\data-wip\1\5\07_wf_metrics.rds,master\data-wip\1\5\08_wf_best_params.rds,master\data-wip\1\60\02_downsampled.rds,master\data-wip\1\60\03_precalculated.rds,master\data-wip\1\60\04_positions.rds,master\data-wip\1\60\05_pnl.rds,master\data-wip\1\60\06_wf_indexes.rds,master\data-wip\1\60\07_wf_metrics.rds,master\data-wip\1\60\08_wf_best_params.rds,master\rcode\01_convert_to_xts.R,master\rcode\06_wf_calculate_indexes.R,master\rcode\07_wf_calculate_metrics.r,master\rcode\08_wf_select_best_params.r,master\rcode\09_wf_eval_test.R,master\rcode\logic\WfHelper.r,master\rcode\logic\strategy.r,master\rcode\logic\strategy_param.yaml
silky-sums,46f65ef,branch_commit,2023-10-11T19:04:06,,,0.1579814,0.0082122,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,1,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,8c9802584eeb932097440bd569429c1b,dcf34ff019b8d1c8fdfe805bd431bedb,a465a4ccbe735bee6cf3f4e6f5b889ba,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

nodal-daks,bdb1459,branch_commit,2023-10-11T19:03:42,,,1.8752935,0.0082474,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,14,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,0e02b08440b17c1f23c2ff8ab86b08fc,103c745a21721236d4df751b7d0d7b06,df406fc59dbac547a9d3d72ef8a8b6a2,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

handy-miss,130c6e2,branch_commit,2023-10-11T19:03:23,,,1.2890047,0.0082815,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,10,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,b9f4c9d53fb2c38b09d6539c7742f6fd,180cb976a8f967787111e9f95567b943,2cca3812b0d68b8868eb622bf807c8f4,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

oiled-horn,79afe05,branch_commit,2023-10-11T19:03:05,,,1.3913188,0.0082486,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,7,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,576698558ff993f583e79c96125abfc8,44aa4c493436ccdd710230ede49a4a17,a2df0d7966a906f47bc6def877ff023f,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

keyed-gobs,cc90838,branch_commit,2023-10-11T19:02:43,,,0.8249639,0.0081998,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,5,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,a3dda72fa48b81e2fb8e4cd560eb91f9,6653a3bb81515cb7103f6a8e3e06bade,60ebf533c4087f50a4c136819baef573,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

lowly-rods,b2c8a48,branch_commit,2023-10-11T19:02:24,,,0.1180659,0.008237,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,3,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,d39f51815f40319c78f62e93c11e68d0,c65eb1c8608e1166f06754d472c6658c,d0fe45e8fec7ac8e5b205fd62b2a491f,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

laced-jato,97cb020,branch_commit,2023-10-11T19:02:02,,,0.2793704,0.0082178,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,2,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,63603295db9e3d6078d62e32e95ea2e2,974ceee4149bcb2a4368bf2dca7ec8c4,d9ecd7e65b19472c0de29849fcf4c884,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

modal-wave,afecfa6,branch_commit,2023-10-11T19:01:44,,,0.3134821,0.0082002,"[1, 10, 15]",1,60,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,7,1,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2bd86fb5dd551e829c51d84307e18472,5f6963fa0033b4328ffd092283c7969e,7897560da77dea7bd205479e9a96790b,064ab626e6234e8fb7b87afe0b2ec362,3752dcb043a53d1c6ae6f9a14b2ad045,6439ea25222e2fc116cae269d7ad83dc,a1d2a630bc6d96fad686384d877173ec,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

erect-tart,bdd05e6,branch_commit,2023-10-11T19:01:13,,,-0.4162895,0.0056217,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,14,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,11f42781aaa72dba1e90b4e1b7168630,f58a15b943645382992da0fe495bfc66,1648be0d9d34e0f8010651fe325aae47,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

slier-bias,e460262,branch_commit,2023-10-11T19:00:54,,,-0.1218414,0.0055934,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,10,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,c4b065f5b3b077de26532fdb4b940d68,42722f55e8a5f25207fd4d11ba9ab50c,531fdc419af57287266fde43ef092332,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

modal-acre,e4a7fc1,branch_commit,2023-10-11T19:00:33,,,-0.2247426,0.0055387,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,7,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,cce6c6ce066bcb8edcaffea660c87646,b5a130d34a385f80c07a528c82458f3d,14dcfa47db3ff3297fb1fb370e841a5a,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

lento-peel,bfe32cd,branch_commit,2023-10-11T19:00:11,,,0.2235553,0.0055374,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,5,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,ace1995f212d3ae9fdc17d62655b5332,4da638adcfa5b755b96044f418c36ada,2b5ca8e3d2010fa7c526e3b4b4fab000,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

gummy-sack,b1ef0f1,branch_commit,2023-10-11T18:59:50,,,-0.4535323,0.0055495,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,3,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,976fcb1f9cf41f0d3daeb3eaa4ebcafc,e684be0a8c6ddb2d89af1be6d426e2fd,55539cf341c8abf3ca81cf23fc0b88ce,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

quiet-gram,284cac8,branch_commit,2023-10-11T18:59:25,,,-0.2812994,0.0055494,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,2,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,b7e1b66f41726277aae59b02044de92a,b2f1686e1b6861a30f080e9f5dd7b094,63a28447ccb061f43aeb7511ce5f1e2f,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

piano-tart,9f82625,branch_commit,2023-10-11T18:58:58,,,-0.0977514,0.0055364,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,21,1,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,cc37e46ae5b681375f25de39aeda6f3e,2cb92b520bd3638ee94c877c749a9bbc,46b8a140da770d1c7f272a922f0be108,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

barer-raps,de9a949,branch_commit,2023-10-11T18:58:28,,,0.6509951,0.0057021,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,14,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,edf8e3d37848e7f8b8126c850cd146bd,ed17774c13281b565a21b4502e0461e1,22848bd325284e6848f5638e22fa17e6,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

non-U-lama,8346545,branch_commit,2023-10-11T18:58:04,,,-0.6478548,0.0057263,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,10,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,2b3511d9d6a950efc8e33b9ef20e4eb6,42fc18a24925b5bb879b260fdfea039c,c190a3edaa90dcd1e6173628c9d7d91f,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

outer-beth,e6b9c2d,branch_commit,2023-10-11T18:57:39,,,0.3945058,0.0057019,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,7,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,a85842878ce0dbfd29a8e7ccc30f108a,9dddb8787824320657a51071f141da3a,0d0240742945b39949ba432ad5666377,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

crisp-scup,5235fb9,branch_commit,2023-10-11T18:57:16,,,-0.2745764,0.005726,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,5,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,c42703c8e8a5fcf3d8ada920e009405a,2b680bc824f1630fe4d679d38409cefb,b6dd67ce798701a68400f429970a9561,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

godly-rort,33f6d10,branch_commit,2023-10-11T18:56:51,,,0.1249393,0.0057263,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,3,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,c451d6d30cff669c8434b1f23803cbe1,104944c6e6bbcde760c67bcf7397a86f,f750d245443c9cd5f59d741f3e923d1b,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

ethic-tors,5992aa7,branch_commit,2023-10-11T18:56:28,,,0.1710174,0.0057018,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,2,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,0497e9b36c200ca972016a4893917dac,f934f98b997a0ce501564f0a62975058,19815a46a54a12973f4ae4a6acb9a0a0,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

beery-hock,0d02c1f,branch_commit,2023-10-11T18:55:59,,,-0.0120199,0.0057017,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,14,1,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,ceb928ab7e3a4f199bf5dad8bbb967d3,43b3a697cfc5fdc8d34bef12e0201f75,09f29e28f645b9857d38201e3ad9c7f7,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

hunky-dirk,a61cb83,branch_commit,2023-10-11T18:55:30,,,0.332398,0.0057506,"[1, 10, 15]",1,30,calc_sharpe,./master/data-wip,master/data-raw/train_3mln.csv,master//rcode//logic/strategy_param.yaml,master//rcode//logic/WfHelper.yaml,10,14,8547116b4c2f178405fc33378286059f,1834af68e3acc1db39c01d42e4b23926,,,,,,,,,,,,,,,,,,,,,,e1bdea89cee597590afd87f20d23c11b,f1e73ccbac734dc240d84c082d6efeda,c70c8c9d77af7a7558bcd189a664a5ba,5e0d732eeadef8cb8e789fc9cba1c7e1,449d42639c98b41f915a67f9836d0008,816700dc13d64e3ec435dcd137808fe1,1ff856a02f09537dc0e7524c0616af5e,,,,,,,,,,,,,,,c1d6b35c8a3a605a06ed32b66bb8577b,dee9fb2aace0c71b6795403763cf6ceb,4932e58351639034134937063b19c0ec,553b26c7b7bb776d90941fdf714fdc46,d6af9c598f385f5aec7e197d8c27b10d,86760c04058974ecfdbed3cdd504f1a5,f173c2d482df3a7e3f70c278b615f693,c8d1c328f00399577ab3b3629ec90249

